instruction,input,output
什么是招赢通？,, “招赢通”是招商银行同业金融合作平台，实现同业金融机构间的优势互补、资源互换，联手开展同业代销理财、自营投资理财、委托投资管理等金融业务。
招赢通平台是什么？,, 招赢通平台面向的客户是商业银行、证券公司、保险公司、信托公司、基金（子）公司、财务公司、私募公司等一行三会发牌照并监管的金融机构，定位于招商银行同业业务的电子化、线上化，旨在提升同业金融业务的效率、降低操作风险和场外业务交易成本，成为同业金融机构间资金端、资产端的“超导体”，打造为多对多金融资产、产品供销平台。\n目前，招赢通平台覆盖版块包括公募基金、债券、招银资管、同业存款等。其中，公募基金涵盖招商银行代销的第三方基金产品，包括货币基金、理财型基金和债券型基金等；债券包含短期融资债、金融债、资产支持证券等；招银资管包含招商银行同业理财产品、存放同业等，理财产品支持线上签约后台自动化起息，满足客户异地办理问题；同业存款包含定期存款、约期存款、约息存款，存款产品线上操作，到期自动回款。
招赢通平台的优势是什么？,, 招赢通平台的优势主要包括以下几点：\n提高业务效率：招赢通平台提供了全流程的电子化、线上化服务，可以帮助金融机构更高效地进行业务合作，从而提高业务效率。\n降低操作风险：招赢通平台通过标准化、规范化的流程和操作，可以降低人为操作失误和风险。\n降低交易成本：招赢通平台为金融机构提供了一个多对多的交易平台，可以帮助机构更便捷地寻找对手方，降低交易成本。\n扩大业务范围：通过招赢通平台，金融机构可以轻松地接触到更多的金融产品和服务，拓展业务范围。\n提升服务质量：招赢通平台提供了全天候的服务，可以帮助金融机构提升服务质量，提高客户满意度。
什么是招赢通快捷理财？,,招商银行现推出同业理财快捷交易模式，在快捷交易模式下，投资者无需在我行开立结算账户，而是通过我行统一管理的内部收付款账户划转资金，在“闭环运作、原路返还”的原则下购买理财产品。
招赢通增利系列简介,,本理财计划投资于银行间和交易所市场信用级别较高、流动性较好的金融资产和金融工具，包括但不限于债券、资产支持证券、资金拆借、逆回购、银行存款、券商收益凭证等，并可投资信托计划、资产管理计划等其他金融资产。
招赢通鼎鼎成金系列简介,,本理财计划类型为非保本浮动收益类，在资产组合无法正常处置的情况下，须根据资产实际出让或处分情况来计算投资者应得本金及收益；在资产组合项下资产全部亏损的最不利情况下，本金将全部损失。
招赢通鼎鑫系列简介,,本理财计划募集的资金投资于境内固定收益类资产以及境外策略性投资指数。\n境内固定收益类资产指：包括国债、金融债、央行票据、债券回购、企业债、公司债、短期融资券、中期票据、同业存款、协议存款、融资业务债权收益权等固定收益工具，上述投资债券的主体评级均为AAA，投资比例为理财计划资产的100％。\n境外策略性投资指数指境外市场中成熟的交易策略，投资标的包括商品、利率、外汇、债券、信用等多个市场。该部分投资无需投入本金，其通过总收益互换的模式，将相关费用支付给境外交易对手，同时将收取境外交易对手支付的策略性投资指数（可能为多个）的收益。\n理财产品管理人通过设置止损线确保境外投资的损失不超过境内市场固定收益投资的预期收益，从而实现对投资者本金的保护。本产品所投资的标的指数均为招商银行定制、按约定的策略算法计算并在彭博（Bloomberg）公开发布的指数。本产品的核心是以量化技术为基础的境外绝对收益投资策略。该类策略并不依赖市场的单向波动，而是追求稳定的绝对收益。
招赢通日益月鑫系列简介,,招商银行日益月鑫理财计划类型为非保本浮动收益类。本理财计划投资于银行间和交易所市场信用级别较高、流动性较好的金融资产和金融工具，包括但不限于债券、资产支持证券、资金拆借、逆回购、银行存款等，并可通过信托计划、定向资产管理计划等资产管理计划进行投资。
招赢通同业存单是什么,,同业存单是存款类金融机构在全国银行间市场发行的记账式定期存款凭证，通过本币业务发行系统进行电子化发行，认购登记后可在银行间市场交易流通。投资意向机构可通过招赢通平台发送认购意向，并留意我行当日确认信息。
招赢通的债券业务介绍,, 招商银行是中国银行间市场交易商协会第一批正式会员、全牌照主承销商，同时也是交易商协会监事长单位。 目前招行承销的债券业务品种包括非金融企业债务融资工具、资产证券化、金融债以及北金所债权融资计划等。
招行 ABS 介绍,, 招行ABS是指招商银行作为发起机构在全国银行间市场及监管机关允许的其他市场发行的证券化产品。 招行作为信贷ABS市场的重要参与机构一直坚持专业化、市场化和国际化的发展策略，积极开展资产证券化领域的创新实践，持续推进资产证券化业务发展, 已形成了“招银和智”（信用卡资产ABS）、“招银和信”（汽车分期ABS）、“招银和家”（房贷RMBS）、“招银和萃”（不良贷款ABS）、“招银和汇”（对公CLO）、“招银和享”（消费贷ABS） 等多个具有市场影响力的产品。
招赢通标准化票据介绍,,标准化票据是指存托机构归集商业汇票组建基础资产池，以基础资产产生的现金流为偿付支持而创设的受益证券，具有发行速度快、流程灵活、市场化程度高等优点，招商银行可以提供标准化票据发行和投资等方面服务。
招赢通福费廷是什么,,国内信用证项下应收账款债权交易业务。
招赢通约息存款业务介绍,,“约息存款”业务是指招行与同业客户签署活期账户现金管理服务协议，双方就签约活期账户存入的资金达成现金管理方案，方案生效期间客户可随时根据自身意愿进行资金存取，我行根据资金量及稳定性给予客户相应收益的现金管理服务。
招赢通约期存款,,“约期存款”是根据我行与同业客户就活期账户约定活期及各个约期的利率，在每个计息日根据客户活期账户每日日终余额的历史情况，按约期期限靠档计算应付利息，根据计息结果在每季度结息日支付利息。
招赢通同业借款业务,,同业借款业务是指招行不通过全国统一的同业拆借网络向具有本外币同业资金借入资格的金融机构提供资金融通服务的业务。
“招赢通+”黄金积存业务,, “招赢通+”黄金积存业务，是指我行与合作机构签订合作协议，通过互联网联接，接受合作机构交易指令并作为交易对手，为其开办黄金积存业务提供行情资讯发送、交易平盘、账户和份额管理、交易清算和结算、交易账户估值等服务。
